PacketCounter,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Roll,Pitch,Yaw,Latitude,Longitude,Altitude,Vel_X,Vel_Y,Vel_Z
41479,864900000,2021,1,2,6,48,40,247,17.597063,-19.845608,-36.85461,33.97369302,-117.7738425,347.193159,0.051919,-0.417341,-0.080529
41480,867400000,2021,1,2,6,48,40,247,17.578663,-19.828949,-36.862617,33.97369301,-117.7738425,347.192957,0.052054,-0.417229,-0.080687
41481,869900000,2021,1,2,6,48,40,247,17.559471,-19.81214,-36.868488,33.973693,-117.7738425,347.199815,0.052216,-0.417088,-0.078554
41482,872400000,2021,1,2,6,48,40,247,17.539646,-19.794609,-36.873722,33.97369299,-117.7738425,347.199618,0.052242,-0.417025,-0.078686
41483,874900000,2021,1,2,6,48,40,247,17.518572,-19.777319,-36.879093,33.97369298,-117.7738425,347.199422,0.052353,-0.416957,-0.078782
41484,877400000,2021,1,2,6,48,40,247,17.496954,-19.759178,-36.88414,33.97369297,-117.7738425,347.199224,0.052522,-0.41683,-0.078877
41485,879900000,2021,1,2,6,48,40,247,17.475271,-19.739838,-36.888756,33.97369296,-117.7738425,347.199028,0.052846,-0.416681,-0.078886
41486,882400000,2021,1,2,6,48,40,247,17.452641,-19.719995,-36.892056,33.97369295,-117.7738425,347.19883,0.053172,-0.416431,-0.078906
41487,884900000,2021,1,2,6,48,40,247,17.429089,-19.701307,-36.894657,33.97369294,-117.7738425,347.198633,0.053539,-0.416279,-0.078888
41488,887400000,2021,1,2,6,48,40,247,17.405163,-19.680819,-36.895542,33.97369293,-117.7738425,347.198436,0.053831,-0.416003,-0.078825
41489,889900000,2021,1,2,6,48,40,247,17.37919,-19.659416,-36.895313,33.97369293,-117.7738425,347.184434,0.054297,-0.415612,-0.083262
41490,892400000,2021,1,2,6,48,40,247,17.352444,-19.638512,-36.894699,33.97369292,-117.7738425,347.184226,0.054481,-0.415355,-0.083111
