"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","X","Y","Z","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle"
- 0.09080342203378677,0.7147696614265442,0.1400538086891174,-0.09080341909555657,0.7147696632174934,0.1400538026063839,74.0,11.0,35276.0,0.734,2754107278258.0,107278258.0,11.0
- 0.09124383330345154,0.7192404866218567,-0.03799590468406677,-0.09124383222061075,0.7192404843605934,-0.03799590423237722,99.0,12.0,35277.0,0.726,2754107278261.0,107278261.0,-3.0
- 0.09282345324754715,0.7327162623405457,0.1705128997564316,-0.09282345267200982,0.732716287414825,0.1705128991926497,100.0,13.0,35278.0,0.758,2754107278263.0,107278263.0,13.0
- 0.09009986370801926,0.7122141718864441,-0.01253082789480686,-0.09009986208910052,0.7122141484171887,-0.01253082782196956,100.0,14.0,35279.0,0.718,2754107278265.0,107278265.0,-1.0
- 0.09055483341217041,0.7168152928352356,0.1935966461896896,-0.09055483017967715,0.716815291055258,0.1935966457366855,99.0,15.0,35280.0,0.748,2754107278268.0,107278268.0,15.0
- 0.09135749191045761,0.730343759059906,-0.197220116853714,-0.09135749183016784,0.7303437793012321,-0.1972201123681208,20.0,0.0,35287.0,0.762,2754107278288.0,107278288.0,-15.0
- 0.09022029489278793,0.7222761511802673,0.01270535215735436,-0.0902202978300724,0.7222761742525481,0.0127053518863424,38.0,1.0,35288.0,0.728,2754107278291.0,107278291.0,1.0
- 0.08803970366716385,0.7058205604553223,-0.1642142683267593,-0.08803970286635482,0.7058205751858024,-0.1642142696710215,27.0,2.0,35289.0,0.73,2754107278293.0,107278293.0,-13.0
- 0.09047888964414597,0.7253757119178772,0.03830992057919502,-0.09047888969738292,0.7253757099262654,0.03830991996983488,100.0,3.0,35289.0,0.732,2754107278295.0,107278295.0,3.0
- 0.08760067075490952,0.7033001780509949,-0.1377640962600708,-0.08760067116653995,0.7033002037772834,-0.1377640946618653,100.0,4.0,35290.0,0.722,2754107278298.0,107278298.0,-11.0
- 0.09148119390010834,0.7355015277862549,0.06484387069940567,-0.0914811972040263,0.7355015042430578,0.06484387260425767,93.0,5.0,35291.0,0.744,2754107278300.0,107278300.0,5.0
- 0.0895988792181015,0.72139573097229,-0.1151357665657997,-0.08959887761879927,0.7213957280542775,-0.1151357662696099,42.0,6.0,35292.0,0.736,2754107278302.0,107278302.0,-9.0
- 0.0921119898557663,0.7426894903182983,0.09188948571681976,-0.09211198956499447,0.7426895070876796,0.0918894849274812,100.0,7.0,35293.0,0.754,2754107278304.0,107278304.0,7.0
- 0.09149439632892609,0.7387654781341553,-0.09140200912952423,-0.09149439428765233,0.7387654897388343,-0.0914020075538606,19.0,8.0,35294.0,0.75,2754107278307.0,107278307.0,-7.0
- 0.09226054698228836,0.7449517250061035,0.1188901960849762,-0.09226054855907946,0.7449517521864206,0.1188901934305755,100.0,9.0,35294.0,0.76,2754107278309.0,107278309.0,9.0
- 0.08925594389438629,0.7217239141464233,-0.06362368911504745,-0.08925594027748256,0.7217239104500316,-0.06362369220579046,100.0,10.0,35295.0,0.73,2754107278311.0,107278311.0,-5.0
- 0.08806723356246948,0.7131338119506836,0.139672189950943,-0.08806723329758034,0.7131338186231296,0.1396721846156308,78.0,11.0,35296.0,0.732,2754107278314.0,107278314.0,11.0
- 0.08824377506971359,0.7155901193618774,-0.03778656199574471,-0.08824377334644529,0.7155901147431808,-0.03778656040740544,96.0,12.0,35297.0,0.722,2754107278316.0,107278316.0,-3.0
- 0.08907439559698105,0.7233651876449585,0.168263390660286,-0.08907439584509645,0.7233651802824874,0.168263388649211,100.0,13.0,35298.0,0.748,2754107278318.0,107278318.0,13.0
- 0.08810131996870041,0.7164937853813171,-0.01260063704103231,-0.08810131778821798,0.7164938113758489,-0.0126006374477187,100.0,14.0,35299.0,0.722,2754107278321.0,107278321.0,-1.0
- 0.08817728608846664,0.7171116471290588,0.1935966461896896,-0.08817728711316143,0.7171116403997828,0.1935966457366855,99.0,15.0,35299.0,0.748,2754107278323.0,107278323.0,15.0
- 0.08997301012277603,0.7402468919754028,-0.1998082995414734,-0.08997301324164621,0.7402469175976021,-0.199808302819146,20.0,0.0,35307.0,0.772,2754107278344.0,107278344.0,-15.0
- 0.08890318125486374,0.732512354850769,0.01287987548857927,-0.08890318401724243,0.7325123430134749,0.01287987595071523,100.0,1.0,35308.0,0.738,2754107278346.0,107278346.0,1.0
- 0.0865132063627243,0.7138619422912598,-0.1660138815641403,-0.08651320543371747,0.7138619317219999,-0.1660138781057724,27.0,2.0,35309.0,0.738,2754107278348.0,107278348.0,-13.0
- 0.08650456368923187,0.7137905955314636,0.03768188878893852,-0.08650456202026353,0.7137906107740132,0.03768188849491955,100.0,3.0,35309.0,0.72,2754107278351.0,107278351.0,3.0
- 0.08490930497646332,0.7016526460647583,-0.1373824775218964,-0.08490930244816412,0.7016526672517375,-0.1373824766711123,100.0,4.0,35310.0,0.72,2754107278353.0,107278353.0,-11.0
- 0.08891326189041138,0.7358163595199585,0.06484387069940567,-0.08891326050258212,0.735816352286685,0.06484387260425767,88.0,5.0,35311.0,0.744,2754107278355.0,107278355.0,5.0
- 0.08802671730518341,0.7295486927032471,-0.116387240588665,-0.0880267145450184,0.7295487012039614,-0.1163872419899318,41.0,6.0,35312.0,0.744,2754107278357.0,107278357.0,-9.0
- 0.09094366431236267,0.7548315525054932,0.09335191547870636,-0.09094366311341551,0.7548315505613903,0.09335191704834297,99.0,7.0,35313.0,0.766,2754107278360.0,107278360.0,7.0
- 0.08844085037708282,0.7351385951042175,-0.0909145325422287,-0.08844085039517575,0.7351386020224242,-0.09091453018024001,19.0,8.0,35314.0,0.746,2754107278362.0,107278362.0,-7.0
- 0.08895178139209747,0.7393855452537537,0.1179515868425369,-0.0889517804861903,0.739385558391131,0.1179515866403341,100.0,9.0,35314.0,0.754,2754107278364.0,107278364.0,9.0
- 0.08697374165058136,0.7240092158317566,-0.06379800289869308,-0.08697374308817363,0.7240092421635508,-0.06379800369128577,100.0,10.0,35315.0,0.732,2754107278367.0,107278367.0,-5.0
- 0.08557739853858948,0.7134369015693665,0.139672189950943,-0.08557739518863705,0.7134368859804103,0.1396721846156308,78.0,11.0,35316.0,0.732,2754107278369.0,107278369.0,11.0
- 0.08669544756412506,0.7238261103630066,-0.03820524737238884,-0.08669544718082584,0.723826124465671,-0.03820524805734899,96.0,12.0,35317.0,0.73,2754107278371.0,107278371.0,-3.0
- 0.08492893725633621,0.710127055644989,0.1651140749454498,-0.08492893945535947,0.7101270434555812,0.1651140738883969,100.0,13.0,35318.0,0.734,2754107278374.0,107278374.0,13.0
- 0.08465127646923065,0.708854615688324,-0.01246101781725884,-0.08465127721388961,0.7088546284616971,-0.01246101819622043,100.0,14.0,35319.0,0.714,2754107278376.0,107278376.0,-1.0
- 0.08623456954956055,0.7231848239898682,0.1951495558023453,-0.08623456599546125,0.7231847957863408,0.1951495600073006,96.0,15.0,35320.0,0.754,2754107278378.0,107278378.0,15.0
- 0.08557736128568649,0.7252081632614136,-0.1956671923398972,-0.08557736008473854,0.7252081515189956,-0.1956671980975057,20.0,0.0,35327.0,0.756,2754107278399.0,107278399.0,-15.0
- 0.08611169457435608,0.7308322787284851,0.01284497138112783,-0.08611169796256708,0.7308322531131694,0.01284497113784066,40.0,1.0,35328.0,0.736,2754107278401.0,107278401.0,1.0
- 0.08447623252868652,0.7180303335189819,-0.1669136881828308,-0.08447623268420082,0.7180303536514401,-0.1669136823231478,27.0,2.0,35329.0,0.742,2754107278404.0,107278404.0,-13.0
- 0.08481989800930023,0.7220373749732971,0.03810057789087296,-0.0848198943657377,0.7220373477994158,0.03810057614486311,100.0,3.0,35330.0,0.728,2754107278406.0,107278406.0,3.0
- 0.08062712848186493,0.6863459944725037,-0.1343295276165009,-0.08062712560290528,0.686346008402103,-0.1343295327450875,100.0,4.0,35330.0,0.704,2754107278408.0,107278408.0,-11.0
- 0.08518370240926743,0.7262281179428101,0.06397231668233871,-0.08518369955524216,0.7262281185832761,0.06397231517678109,88.0,5.0,35331.0,0.734,2754107278410.0,107278410.0,5.0
- 0.08639871329069138,0.7376993894577026,-0.1176387146115303,-0.08639871329766521,0.7376993930023226,-0.1176387177102536,41.0,6.0,35332.0,0.752,2754107278413.0,107278413.0,-9.0
- 0.08784711360931396,0.7512010931968689,0.09286443889141083,-0.08784711551926366,0.7512010916784166,0.09286443967472238,99.0,7.0,35333.0,0.762,2754107278415.0,107278415.0,7.0
- 0.08587419986724854,0.7354428172111511,-0.0909145325422287,-0.08587419898171482,0.7354428394860847,-0.09091453018024001,19.0,8.0,35334.0,0.746,2754107278417.0,107278417.0,-7.0
- 0.08499570935964584,0.7279192805290222,0.116074375808239,-0.08499570766081767,0.7279192740943183,0.1160743730598513,100.0,9.0,35334.0,0.742,2754107278420.0,107278420.0,9.0
- 0.08352304250001907,0.716392457485199,-0.06310075521469116,-0.08352304277853469,0.7163924871859549,-0.06310075774930451,100.0,10.0,35335.0,0.724,2754107278422.0,107278422.0,-5.0
- 0.08376754820346832,0.7195815443992615,0.1408170312643051,-0.0837675513489772,0.7195815165666314,0.1408170385878901,78.0,11.0,35336.0,0.738,2754107278424.0,107278424.0,11.0
- 0.08370710164308548,0.7201565504074097,-0.03799590468406677,-0.08370709818350927,0.7201565336614397,-0.03799590423237722,96.0,12.0,35337.0,0.726,2754107278427.0,107278427.0,-3.0
- 0.08244961500167847,0.7104191780090332,0.1651140749454498,-0.08244961606997009,0.7104191744413234,0.1651140738883969,100.0,13.0,35338.0,0.734,2754107278429.0,107278429.0,13.0
- 0.08125565201044083,0.7012001872062683,-0.01232139859348536,-0.08125565313246895,0.701200186795512,-0.01232139894472216,100.0,14.0,35339.0,0.706,2754107278431.0,107278431.0,-1.0
- 0.08339117467403412,0.7196287512779236,0.1941142827272415,-0.08339117172848814,0.719628763524724,0.1941142838268906,99.0,15.0,35339.0,0.75,2754107278434.0,107278434.0,15.0
- 0.0828256905078888,0.7235831618309021,-0.1951495558023453,-0.08282569305917734,0.7235831353743839,-0.1951495600073006,20.0,0.0,35347.0,0.754,2754107278454.0,107278454.0,-15.0
- 0.08333303034305573,0.7291416525840759,0.01281006634235382,-0.08333302723271477,0.7291416246333641,0.0128100663249661,38.0,1.0,35348.0,0.734,2754107278457.0,107278457.0,1.0
- 0.0826321467757225,0.7241293787956238,-0.168263390660286,-0.08263214908118605,0.7241293806900181,-0.168263388649211,30.0,2.0,35349.0,0.748,2754107278459.0,107278459.0,-13.0
- 0.08275119215250015,0.7262978553771973,0.03830992057919502,-0.08275118921476583,0.7262978663850299,0.03830991996983488,100.0,3.0,35350.0,0.732,2754107278461.0,107278461.0,3.0
